Spectroscopic Data At X=0, Y=0
Wavelength (nm)	Psi (65.00, 70.00, 75.00°)	Delta (65.00, 70.00, 75.00°)									Model	
418.233093	24.330301	152.006500	24.406679	151.578857	19.460770	138.463821	19.615248	138.126984	14.858986	110.234390	15.102757	110.343796	
419.826019	24.195597	152.104401	24.283627	151.713776	19.315992	138.634628	19.462103	138.234375	14.685639	109.947639	14.930665	110.211983	
421.419006	24.048998	152.196045	24.163286	151.847382	19.165316	138.716858	19.312286	138.341110	14.502876	109.798767	14.762486	110.079628	
423.011871	23.948872	152.364243	24.045542	151.979553	19.002539	138.810043	19.165665	138.446976	14.316704	109.625313	14.598087	109.946449	
424.604797	23.844872	152.560242	23.930264	152.110229	18.848034	138.946579	19.022091	138.551849	14.165504	109.499832	14.437325	109.812187	
426.197662	23.741127	152.611053	23.817533	152.239197	18.700426	139.013916	18.881674	138.655533	14.030093	109.299133	14.280315	109.676987	
427.790527	23.621630	152.718643	23.707159	152.366470	18.567871	139.135437	18.744179	138.757950	13.853314	109.275955	14.126822	109.540504	
429.383392	23.483084	152.826599	23.598944	152.492111	18.436459	139.113876	18.609377	138.859039	13.704066	108.825119	13.976600	109.402397	
430.976227	23.377092	152.942505	23.492813	152.616074	18.296600	139.297195	18.477180	138.958755	13.564989	108.780258	13.829558	109.262558	
432.569031	23.256081	153.000153	23.388702	152.738327	18.156141	139.363144	18.347513	139.057037	13.446679	108.820061	13.685619	109.120941	
434.161865	23.170948	153.170731	23.286552	152.858871	18.052979	139.441635	18.220306	139.153854	13.278932	108.396637	13.544701	108.977493	
435.754639	23.066132	153.333084	23.186304	152.977692	17.909592	139.633926	18.095488	139.249161	13.162780	108.284996	13.406727	108.832184	
437.347412	22.970129	153.437225	23.087902	153.094803	17.769133	139.626740	17.972994	139.342957	13.033003	108.038345	13.271624	108.684990	
438.940186	22.878538	153.555466	22.991304	153.210190	17.667669	139.737030	17.852768	139.435226	12.882227	107.922157	13.139328	108.535934	
