X (cm)	Y (cm)	MSE	Absolute MSE	Thickness # 1 (nm)	A	B	C	n of Cauchy @ 632.8 nm	Thickness # 1 (nm) Error	A Error	B Error	C Error	n of Cauchy @ 632.8 nm Error
7.00000	1.00000	6.603	0.000	9.66	2.258	-0.02318	0.00086556	2.20518	0.015	0.0182	0.006737	0.00051555	0.000000
5.25000	1.00000	6.705	0.000	9.80	2.262	-0.02429	0.00093859	2.20679	0.015	0.0180	0.006702	0.00051320	0.000000
2.75000	1.00000	6.515	0.000	9.86	2.253	-0.02312	0.00092932	2.20144	0.015	0.0176	0.006520	0.00049831	0.000000
1.00000	1.00000	6.468	0.000	9.83	2.254	-0.02301	0.00091486	2.20254	0.014	0.0175	0.006489	0.00049610	0.000000
0.00000	1.00000	6.679	0.000	9.80	2.258	-0.02334	0.00089767	2.20498	0.015	0.0181	0.006703	0.00051292	0.000000
-1.00000	1.00000	6.740	0.000	9.74	2.259	-0.02278	0.00084750	2.20781	0.015	0.0183	0.006792	0.00052038	0.000000
-2.75000	1.00000	6.763	0.000	9.64	2.260	-0.02174	0.00074880	2.21073	0.015	0.0185	0.006884	0.00052804	0.000000
-5.25000	1.00000	6.841	0.000	9.49	2.258	-0.02051	0.00066674	2.21142	0.015	0.0190	0.007093	0.00054428	0.000000
-7.00000	1.00000	6.781	0.000	9.45	2.258	-0.01984	0.00060360	2.21194	0.015	0.0190	0.007066	0.00054223	0.000000
-8.00000	1.00000	6.757	0.000	9.50	2.258	-0.01997	0.00060751	2.21153	0.015	0.0188	0.007005	0.00053740	0.000000
-9.00000	1.00000	6.757	0.000	9.80	2.260	-0.02311	0.00085045	2.20719	0.015	0.0182	0.006761	0.00051776	0.000000
-9.00000	0.00000	6.637	0.000	9.78	2.260	-0.02241	0.00080698	2.20861	0.015	0.0179	0.006648	0.00050943	0.000000
-8.00000	0.00000	6.687	0.000	9.52	2.255	-0.02006	0.00065202	2.20944	0.015	0.0186	0.006927	0.00053104	0.000000
-7.00000	0.00000	6.736	0.000	9.51	2.256	-0.01977	0.00062435	2.21064	0.015	0.0187	0.006979	0.00053534	0.000000
-5.25000	0.00000	6.749	0.000	9.58	2.259	-0.02106	0.00071039	2.21036	0.015	0.0186	0.006925	0.00053110	0.000000
-2.75000	0.00000	6.713	0.000	9.72	2.257	-0.02263	0.00085744	2.20605	0.015	0.0183	0.006796	0.00052031	0.000000
-1.00000	0.00000	6.502	0.000	9.82	2.258	-0.02320	0.00090935	2.20531	0.014	0.0175	0.006506	0.00049796	0.000000
0.00000	0.00000	6.655	0.000	9.88	2.259	-0.02442	0.00100	2.20382	0.015	0.0178	0.006612	0.00050583	0.000000
