delta_c/2pi (MHz),Omega_p/2pi (MHz),Ion Amplitude (arb. units)
-886.9203012,5.866820044,0.579575385
-886.9203012,5.890407902,0.579589991
-886.9203012,5.913995759,0.579504559
-886.9203012,5.937583617,0.579316925
-886.9203012,5.961171475,0.579024941
-886.9203012,5.984759333,0.578626871
-886.9203012,6.008347191,0.578122465
-886.9203012,6.031935048,0.577514641
-886.9203012,6.055522906,0.5768109
-886.9203012,6.079110764,0.576023236
-886.9203012,6.102698622,0.57516665
-886.9203012,6.12628648,0.574257503
-886.9203012,6.149874337,0.573312501
-886.9203012,6.173462195,0.57234836
-886.9203012,6.197050053,0.571381796
-886.9203012,6.220637911,0.570429526
-886.9203012,6.244225768,0.569508264
-886.9203012,6.267813626,0.568634729
-886.9203012,6.291401484,0.567825635
-886.9203012,6.314989342,0.567097698
-886.9203012,6.3385772,0.566467636
-886.9203012,6.362165057,0.565952164
-886.9203012,6.385752915,0.565567998
-886.9203012,6.409340773,0.565331854
-886.9203012,6.432928631,0.565260285
-886.9203012,6.456516489,0.565368598
-886.9203012,6.480104346,0.565668654
-886.9203012,6.503692204,0.566166047
-886.9203012,6.527280062,0.566858638
-886.9203012,6.55086792,0.567737815
-886.9203012,6.574455777,0.568791284
-886.9203012,6.598043635,0.570005363
-886.9203012,6.621631493,0.571366159
-886.9203012,6.645219351,0.572859777
-886.9203012,6.668807209,0.574472325
-886.9203012,6.692395066,0.576189907
-886.9203012,6.715982924,0.577998631
-886.9203012,6.739570782,0.579884602
-886.9203012,6.76315864,0.581833927
-886.9203012,6.786746498,0.583832712
-886.9203012,6.810334355,0.585867064
-886.9203012,6.833922213,0.587923087
-886.9203012,6.857510071,0.58998689
-886.9203012,6.881097929,0.592044577
-886.9203012,6.904685786,0.594082256
-886.9203012,6.928273644,0.596086032
-886.9203012,6.951861502,0.598042011
-886.9203012,6.97544936,0.599936301
-886.9203012,6.999037218,0.601755006
-886.9203012,7.022625075,0.603484234
-886.9203012,7.046212933,0.60511009
-886.9203012,7.069800791,0.606618681
-886.9203012,7.093388649,0.607996113
-886.9203012,7.116976506,0.609228492
-886.9203012,7.140564364,0.610301924
-886.9203012,7.164152222,0.611202516
-886.9203012,7.18774008,0.611916374
-886.9203012,7.211327938,0.612429604
-886.9203012,7.234915795,0.612728312
-886.9203012,7.258503653,0.612798605
-886.9203012,7.282091511,0.612626588
-886.9203012,7.305679369,0.612198369
-886.9203012,7.329267227,0.611500053
-886.9203012,7.352855084,0.610517746
-886.9203012,7.376442942,0.609237554
-886.9203012,7.4000308,0.607645585
-886.9203012,7.423618658,0.605727944
-886.9203012,7.447206515,0.603470737
-886.9203012,7.470794373,0.60086007
-886.9203012,7.494382231,0.597882051
-886.9203012,7.517970089,0.594690291
-886.9203012,7.541557947,0.591628235
-886.9203012,7.565145804,0.589213353
-885.4199807,0.512376327,0.35350488
-885.4199807,0.535964185,0.353794855
-885.4199807,0.559552042,0.354223113
-885.4199807,0.5831399,0.35476714
-885.4199807,0.606727758,0.355405449
-885.4199807,0.630315616,0.356123582
-885.4199807,0.653903473,0.356917402
-885.4199807,0.677491331,0.357782774
-885.4199807,0.701079189,0.358715562
-885.4199807,0.724667047,0.359711628
-885.4199807,0.748254905,0.360766836
-885.4199807,0.771842762,0.36187705
-885.4199807,0.79543062,0.363038134
-885.4199807,0.819018478,0.364245951
-885.4199807,0.842606336,0.365496365
-885.4199807,0.866194194,0.366785239
-885.4199807,0.889782051,0.368108437
-885.4199807,0.913369909,0.369461823
-885.4199807,0.936957767,0.37084126
-885.4199807,0.960545625,0.372242612
-885.4199807,0.984133482,0.373661743
-885.4199807,1.00772134,0.375094516
-885.4199807,1.031309198,0.376536794
-885.4199807,1.054897056,0.377984442
-885.4199807,1.078484914,0.379433323
-885.4199807,1.102072771,0.3808793
-885.4199807,1.125660629,0.382318238
-885.4199807,1.149248487,0.383745999
-885.4199807,1.172836345,0.385158448
-885.4199807,1.196424202,0.386551448
-885.4199807,1.22001206,0.387920863
-885.4199807,1.243599918,0.389262556
-885.4199807,1.267187776,0.390572391
-885.4199807,1.290775634,0.391846231
-885.4199807,1.314363491,0.393079941
-885.4199807,1.337951349,0.394269383
-885.4199807,1.361539207,0.395410422
-885.4199807,1.385127065,0.396498921
-885.4199807,1.408714923,0.397530744
-885.4199807,1.43230278,0.398501754
-885.4199807,1.455890638,0.399407814
-885.4199807,1.479478496,0.400244806
-885.4199807,1.503066354,0.401008946
-885.4199807,1.526654211,0.401697683
-885.4199807,1.550242069,0.402311064
-885.4199807,1.573829927,0.402852885
-885.4199807,1.597417785,0.403330607
-885.4199807,1.621005643,0.403754128
-885.4199807,1.6445935,0.404134447
-885.4199807,1.668181358,0.40448284
-885.4199807,1.691769216,0.40481059
-885.4199807,1.715357074,0.405128979
-885.4199807,1.738944932,0.405449292
-885.4199807,1.762532789,0.40578281
-885.4199807,1.786120647,0.406140818
-885.4199807,1.809708505,0.406534598
-885.4199807,1.833296363,0.406975433
-885.4199807,1.85688422,0.407474607
-885.4199807,1.880472078,0.408043402
-885.4199807,1.904059936,0.408693103
-885.4199807,1.927647794,0.409434991
-885.4199807,1.951235652,0.41028035
-885.4199807,1.974823509,0.411240463
-885.4199807,1.998411367,0.412326516
-885.4199807,2.021999225,0.413548751
-885.4199807,2.045587083,0.414914603
-885.4199807,2.069174941,0.416426153
-885.4199807,2.092762798,0.418078564
-885.4199807,2.116350656,0.419860915
-885.4199807,2.139938514,0.42175866
-885.4199807,2.163526372,0.423755796
-885.4199807,2.187114229,0.425836059
-885.4199807,2.210702087,0.427983179
-885.4199807,2.234289945,0.43018089
-885.4199807,2.257877803,0.432412925
-885.4199807,2.281465661,0.434663014
-885.4199807,2.305053518,0.436914892
-885.4199807,2.328641376,0.439152291
-885.4199807,2.352229234,0.441358942
-885.4199807,2.375817092,0.443518579
-885.4199807,2.39940495,0.445614934
-885.4199807,2.422992807,0.44763174
-885.4199807,2.446580665,0.449552734
-885.4199807,2.470168523,0.451362045
-885.4199807,2.493756381,0.453045604
-885.4199807,2.517344238,0.454593567
-885.4199807,2.540932096,0.456002795
-885.4199807,2.564519954,0.457277373
-885.4199807,2.588107812,0.458426687
-885.4199807,2.61169567,0.459462751
-885.4199807,2.635283527,0.460398393
-885.4199807,2.658871385,0.461246495
-885.4199807,2.682459243,0.462019942
-885.4199807,2.706047101,0.462731617
-885.4199807,2.729634959,0.463394406
-885.4199807,2.753222816,0.464021192
-885.4199807,2.776810674,0.464624859
-885.4199807,2.800398532,0.465218291
-885.4199807,2.82398639,0.465814373
-885.4199807,2.847574247,0.466425989
-885.4199807,2.871162105,0.467066022
-885.4199807,2.894749963,0.467747358
-885.4199807,2.918337821,0.468482879
-885.4199807,2.941925679,0.469285265
-885.4199807,2.965513536,0.47016589
-885.4199807,2.989101394,0.471132699
-885.4199807,3.012689252,0.472187657
-885.4199807,3.03627711,0.473325637
-885.4199807,3.059864967,0.474535808
-885.4199807,3.083452825,0.475804225
-885.4199807,3.107040683,0.477115831
-885.4199807,3.130628541,0.478455425
-885.4199807,3.154216399,0.479807809
-885.4199807,3.177804256,0.481157785
-885.4199807,3.201392114,0.482490151
-885.4199807,3.224979972,0.483789711
-885.4199807,3.24856783,0.485041263
-885.4199807,3.272155688,0.48622961
-885.4199807,3.295743545,0.487339552
-885.4199807,3.319331403,0.48835589
-885.4199807,3.342919261,0.489263424
-885.4199807,3.366507119,0.490046956
-885.4199807,3.390094976,0.490691287
-885.4199807,3.413682834,0.491181231
-885.4199807,3.437270692,0.49150218
-885.4199807,3.46085855,0.491641948
-885.4199807,3.484446408,0.491593819
-885.4199807,3.508034265,0.491359454
-885.4199807,3.531622123,0.490949235
-885.4199807,3.555209981,0.49037972
-885.4199807,3.578797839,0.489670434
-885.4199807,3.602385697,0.488841753
-885.4199807,3.625973554,0.4879141
-885.4199807,3.649561412,0.486907899
-885.4199807,3.67314927,0.485843573
-885.4199807,3.696737128,0.484741547
-885.4199807,3.720324985,0.483622245
-885.4199807,3.743912843,0.482506089
-885.4199807,3.767500701,0.481413503
-885.4199807,3.791088559,0.480364912
-885.4199807,3.814676417,0.479380738
-885.4199807,3.838264274,0.478481406
-885.4199807,3.861852132,0.47768734
-885.4199807,3.88543999,0.477018962
-885.4199807,3.909027848,0.476496697
-885.4199807,3.932615706,0.476140968
-885.4199807,3.956203563,0.475972199
-885.4199807,3.979791421,0.476010729
-885.4199807,4.003379279,0.476275712
-885.4199807,4.026967137,0.476782405
-885.4199807,4.050554994,0.477538191
-885.4199807,4.074142852,0.478539668
-885.4199807,4.09773071,0.479773388
-885.4199807,4.121318568,0.481219534
-885.4199807,4.144906426,0.482855568
-885.4199807,4.168494283,0.48465835
-885.4199807,4.192082141,0.486604734
-885.4199807,4.215669999,0.488671571
-885.4199807,4.239257857,0.490835713
-885.4199807,4.262845715,0.493074014
-885.4199807,4.286433572,0.495363326
-885.4199807,4.31002143,0.4976805
-885.4199807,4.333609288,0.50000239
-885.4199807,4.357197146,0.502305848
-885.4199807,4.380785003,0.504567726
-885.4199807,4.404372861,0.506764876
-885.4199807,4.427960719,0.508874152
-885.4199807,4.451548577,0.510872404
-885.4199807,4.475136435,0.51273664
-885.4199807,4.498724292,0.514445221
-885.4199807,4.52231215,0.515980438
-885.4199807,4.545900008,0.517331943
-885.4199807,4.569487866,0.518498754
-885.4199807,4.593075724,0.519487972
-885.4199807,4.616663581,0.52031144
-885.4199807,4.640251439,0.520982862
-885.4199807,4.663839297,0.52151626
-885.4199807,4.687427155,0.521925658
-885.4199807,4.711015012,0.522225079
-885.4199807,4.73460287,0.522428547
-885.4199807,4.758190728,0.522550085
-885.4199807,4.781778586,0.522603717
-885.4199807,4.805366444,0.522603465
-885.4199807,4.828954301,0.522563354
-885.4199807,4.852542159,0.522497406
-885.4199807,4.876130017,0.522419646
-885.4199807,4.899717875,0.522344096
-885.4199807,4.923305732,0.52228478
-885.4199807,4.94689359,0.522255721
-885.4199807,4.970481448,0.522270943
-885.4199807,4.994069306,0.52234447
-885.4199807,5.017657164,0.52249028
-885.4199807,5.041245021,0.522721736
-885.4199807,5.064832879,0.523050179
-885.4199807,5.088420737,0.523482867
-885.4199807,5.112008595,0.524021472
-885.4199807,5.135596453,0.524662465
-885.4199807,5.15918431,0.525399023
-885.4199807,5.182772168,0.526222919
-885.4199807,5.206360026,0.527125614
-885.4199807,5.229947884,0.528098568
-885.4199807,5.253535741,0.529133237
-885.4199807,5.277123599,0.530221081
-885.4199807,5.300711457,0.531353556
-885.4199807,5.324299315,0.532522122
-885.4199807,5.347887173,0.533718237
-885.4199807,5.37147503,0.534933357
-885.4199807,5.395062888,0.536158942
-885.4199807,5.418650746,0.537386449
-885.4199807,5.442238604,0.538607337
-885.4199807,5.465826462,0.53981308
-885.4199807,5.489414319,0.540995333
-885.4199807,5.513002177,0.542146315
-885.4199807,5.536590035,0.543259345
-885.4199807,5.560177893,0.544329201
-885.4199807,5.58376575,0.545351973
-885.4199807,5.607353608,0.546324559
-885.4199807,5.630941466,0.547244185
-885.4199807,5.654529324,0.548108148
-885.4199807,5.678117182,0.548913742
-885.4199807,5.701705039,0.54965826
-885.4199807,5.725292897,0.550338999
-885.4199807,5.748880755,0.550953253
-885.4199807,5.772468613,0.551498318
-885.4199807,5.796056471,0.551971486
-885.4199807,5.819644328,0.552370054
-885.4199807,5.843232186,0.552691317
-885.4199807,5.866820044,0.552932569
-885.4199807,5.890407902,0.553091104
-885.4199807,5.913995759,0.553164218
-885.4199807,5.937583617,0.553149206
-885.4199807,5.961171475,0.55304338
-885.4199807,5.984759333,0.552844422
-885.4199807,6.008347191,0.552551374
-885.4199807,6.031935048,0.552166165
-885.4199807,6.055522906,0.551694898
-885.4199807,6.079110764,0.551147777
-885.4199807,6.102698622,0.550537742
-885.4199807,6.12628648,0.549878976
-885.4199807,6.149874337,0.549185975
-885.4199807,6.173462195,0.548473243
-885.4199807,6.197050053,0.547755288
-885.4199807,6.220637911,0.547046613
-885.4199807,6.244225768,0.546361724
-885.4199807,6.267813626,0.545715128
-885.4199807,6.291401484,0.545121329
-885.4199807,6.314989342,0.544594834
-885.4199807,6.3385772,0.544150146
-885.4199807,6.362165057,0.543801773
-885.4199807,6.385752915,0.543564219
-885.4199807,6.409340773,0.54345199
-885.4199807,6.432928631,0.54347945
-885.4199807,6.456516489,0.543659885
-885.4199807,6.480104346,0.544003599
-885.4199807,6.503692204,0.544515472
-885.4199807,6.527280062,0.545193692
-885.4199807,6.55086792,0.546030845
-885.4199807,6.574455777,0.547016332
-885.4199807,6.598043635,0.548138352
-885.4199807,6.621631493,0.549384919
-885.4199807,6.645219351,0.55074405
-885.4199807,6.668807209,0.55220376
-885.4199807,6.692395066,0.553752064
-885.4199807,6.715982924,0.555376977
-885.4199807,6.739570782,0.557066516
-885.4199807,6.76315864,0.558808696
-885.4199807,6.786746498,0.560591532
-885.4199807,6.810334355,0.562403039
-885.4199807,6.833922213,0.564231233
-885.4199807,6.857510071,0.56606413
-885.4199807,6.881097929,0.567889745
-885.4199807,6.904685786,0.569696093
-885.4199807,6.928273644,0.571471191
-885.4199807,6.951861502,0.573203052
-885.4199807,6.97544936,0.574879694
-885.4199807,6.999037218,0.576489131
-885.4199807,7.022625075,0.578019378
-885.4199807,7.046212933,0.579458452
-885.4199807,7.069800791,0.580794368
-885.4199807,7.093388649,0.58201514
-885.4199807,7.116976506,0.583108785
-885.4199807,7.140564364,0.584063319
-885.4199807,7.164152222,0.584866756
-885.4199807,7.18774008,0.585507112
-885.4199807,7.211327938,0.585972402
-885.4199807,7.234915795,0.586250642
-885.4199807,7.258503653,0.586329848
-885.4199807,7.282091511,0.586198034
-885.4199807,7.305679369,0.585843217
-885.4199807,7.329267227,0.585253412
-885.4199807,7.352855084,0.584416634
-885.4199807,7.376442942,0.583320898
-885.4199807,7.4000308,0.581954221
-885.4199807,7.423618658,0.580304617
-885.4199807,7.447206515,0.578360103
-885.4199807,7.470794373,0.576108693
-885.4199807,7.494382231,0.573538403
-885.4199807,7.517970089,0.570782086
-885.4199807,7.541557947,0.568136776
-885.4199807,7.565145804,0.566050063
-883.9196601,0.512376327,0.354501429
-883.9196601,0.535964185,0.354571273
-883.9196601,0.559552042,0.354714027
-883.9196601,0.5831399,0.354950089
-883.9196601,0.606727758,0.35528703
-883.9196601,0.630315616,0.355723758
-883.9196601,0.653903473,0.356255236
-883.9196601,0.677491331,0.35687643
-883.9196601,0.701079189,0.357582307
-883.9196601,0.724667047,0.358367831
-883.9196601,0.748254905,0.359227968
-883.9196601,0.771842762,0.360157684
-883.9196601,0.79543062,0.361151944
-883.9196601,0.819018478,0.362205714
-883.9196601,0.842606336,0.363313958
-883.9196601,0.866194194,0.364471644
-883.9196601,0.889782051,0.365673736
-883.9196601,0.913369909,0.3669152
-883.9196601,0.936957767,0.368191001
-883.9196601,0.960545625,0.369496105
-883.9196601,0.984133482,0.370825478
-883.9196601,1.00772134,0.372174085
-883.9196601,1.031309198,0.373536891
-883.9196601,1.054897056,0.374908863
-883.9196601,1.078484914,0.376284965
-883.9196601,1.102072771,0.377660164
-883.9196601,1.125660629,0.379029424
-883.9196601,1.149248487,0.380387711
-883.9196601,1.172836345,0.381729992
-883.9196601,1.196424202,0.383051231
-883.9196601,1.22001206,0.384346393
-883.9196601,1.243599918,0.385610446
-883.9196601,1.267187776,0.386838353
-883.9196601,1.290775634,0.388025081
-883.9196601,1.314363491,0.389165595
-883.9196601,1.337951349,0.390254861
-883.9196601,1.361539207,0.391287844
-883.9196601,1.385127065,0.392259509
-883.9196601,1.408714923,0.393164823
-883.9196601,1.43230278,0.393998751
-883.9196601,1.455890638,0.394756259
-883.9196601,1.479478496,0.395432329
-883.9196601,1.503066354,0.396022325
-883.9196601,1.526654211,0.39652298
-883.9196601,1.550242069,0.39693394
-883.9196601,1.573829927,0.397259035
-883.9196601,1.597417785,0.397506193
-883.9196601,1.621005643,0.397686067
-883.9196601,1.6445935,0.397810541
-883.9196601,1.668181358,0.397891806
-883.9196601,1.691769216,0.397942064
-883.9196601,1.715357074,0.397973515
-883.9196601,1.738944932,0.39799836
-883.9196601,1.762532789,0.398028799
-883.9196601,1.786120647,0.398077033
-883.9196601,1.809708505,0.398155263
-883.9196601,1.833296363,0.39827569
-883.9196601,1.85688422,0.398450515
-883.9196601,1.880472078,0.398691937
-883.9196601,1.904059936,0.399012159
-883.9196601,1.927647794,0.39942338
-883.9196601,1.951235652,0.399937801
-883.9196601,1.974823509,0.400567624
-883.9196601,1.998411367,0.401324948
-883.9196601,2.021999225,0.402220908
-883.9196601,2.045587083,0.403263757
-883.9196601,2.069174941,0.404456261
-883.9196601,2.092762798,0.405794089
-883.9196601,2.116350656,0.407266675
-883.9196601,2.139938514,0.408859731
-883.9196601,2.163526372,0.41055748
-883.9196601,2.187114229,0.412343871
-883.9196601,2.210702087,0.414202854
-883.9196601,2.234289945,0.416118378
-883.9196601,2.257877803,0.418074393
-883.9196601,2.281465661,0.420054846
-883.9196601,2.305053518,0.422043689
-883.9196601,2.328641376,0.424024868
-883.9196601,2.352229234,0.425982335
-883.9196601,2.375817092,0.427900037
-883.9196601,2.39940495,0.429761924
-883.9196601,2.422992807,0.431551946
-883.9196601,2.446580665,0.433254055
-883.9196601,2.470168523,0.434852584
-883.9196601,2.493756381,0.436333595
-883.9196601,2.517344238,0.43768722
-883.9196601,2.540932096,0.438910035
-883.9196601,2.564519954,0.440005574
-883.9196601,2.588107812,0.440982465
-883.9196601,2.61169567,0.441851868
-883.9196601,2.635283527,0.442625723
-883.9196601,2.658871385,0.443316026
-883.9196601,2.682459243,0.443934772
-883.9196601,2.706047101,0.444493958
-883.9196601,2.729634959,0.445005578
-883.9196601,2.753222816,0.44548163
-883.9196601,2.776810674,0.445934108
-883.9196601,2.800398532,0.446375008
-883.9196601,2.82398639,0.446816327
-883.9196601,2.847574247,0.447270061
-883.9196601,2.871162105,0.447748204
-883.9196601,2.894749963,0.448262753
-883.9196601,2.918337821,0.448825704
-883.9196601,2.941925679,0.449448874
-883.9196601,2.965513536,0.45014294
-883.9196601,2.989101394,0.450915591
-883.9196601,3.012689252,0.451769298
-883.9196601,3.03627711,0.452700348
-883.9196601,3.059864967,0.453700051
-883.9196601,3.083452825,0.454757002
-883.9196601,3.107040683,0.455858823
-883.9196601,3.130628541,0.456993015
-883.9196601,3.154216399,0.45814708
-883.9196601,3.177804256,0.459308516
-883.9196601,3.201392114,0.460464825
-883.9196601,3.224979972,0.461603507
-883.9196601,3.24856783,0.462712063
-883.9196601,3.272155688,0.463777992
-883.9196601,3.295743545,0.464788796
-883.9196601,3.319331403,0.465731974
-883.9196601,3.342919261,0.466595028
-883.9196601,3.366507119,0.467365457
-883.9196601,3.390094976,0.468030763
-883.9196601,3.413682834,0.468578455
-883.9196601,3.437270692,0.468996508
-883.9196601,3.46085855,0.469274826
-883.9196601,3.484446408,0.469407685
-883.9196601,3.508034265,0.469396045
-883.9196601,3.531622123,0.46924783
-883.9196601,3.555209981,0.4689759
-883.9196601,3.578797839,0.468595476
-883.9196601,3.602385697,0.468122465
-883.9196601,3.625973554,0.467572809
-883.9196601,3.649561412,0.46696245
-883.9196601,3.67314927,0.466307331
-883.9196601,3.696737128,0.465623394
-883.9196601,3.720324985,0.464926582
-883.9196601,3.743912843,0.464232838
-883.9196601,3.767500701,0.463558105
-883.9196601,3.791088559,0.462918324
-883.9196601,3.814676417,0.462329439
-883.9196601,3.838264274,0.461807393
-883.9196601,3.861852132,0.461368127
-883.9196601,3.88543999,0.461027584
-883.9196601,3.909027848,0.460801708
-883.9196601,3.932615706,0.46070644
-883.9196601,3.956203563,0.460757723
-883.9196601,3.979791421,0.460971434
-883.9196601,4.003379279,0.461362521
-883.9196601,4.026967137,0.461942879
-883.9196601,4.050554994,0.462718238
-883.9196601,4.074142852,0.463685881
-883.9196601,4.09773071,0.46483522
-883.9196601,4.121318568,0.466150684
-883.9196601,4.144906426,0.467614566
-883.9196601,4.168494283,0.46920869
-883.9196601,4.192082141,0.470914875
-883.9196601,4.215669999,0.472714938
-883.9196601,4.239257857,0.474590696
-883.9196601,4.262845715,0.476523967
-883.9196601,4.286433572,0.478496568
-883.9196601,4.31002143,0.480490317
-883.9196601,4.333609288,0.482487032
-883.9196601,4.357197146,0.48446853
-883.9196601,4.380785003,0.486416628
-883.9196601,4.404372861,0.488313144
-883.9196601,4.427960719,0.490139896
-883.9196601,4.451548577,0.491878702
-883.9196601,4.475136435,0.493511496
-883.9196601,4.498724292,0.495021253
-883.9196601,4.52231215,0.496393956
-883.9196601,4.545900008,0.497621233
-883.9196601,4.569487866,0.498701884
-883.9196601,4.593075724,0.499640905
-883.9196601,4.616663581,0.500446924
-883.9196601,4.640251439,0.501129998
-883.9196601,4.663839297,0.501700423
-883.9196601,4.687427155,0.502168501
-883.9196601,4.711015012,0.502544531
-883.9196601,4.73460287,0.502838813
-883.9196601,4.758190728,0.503061646
-883.9196601,4.781778586,0.503223329
-883.9196601,4.805366444,0.503334164
-883.9196601,4.828954301,0.503404448
-883.9196601,4.852542159,0.503444483
-883.9196601,4.876130017,0.503464567
-883.9196601,4.899717875,0.503475
-883.9196601,4.923305732,0.503486082
-883.9196601,4.94689359,0.503508113
-883.9196601,4.970481448,0.503551392
-883.9196601,4.994069306,0.503626219
-883.9196601,5.017657164,0.503742864
-883.9196601,5.041245021,0.503911196
-883.9196601,5.064832879,0.504139755
-883.9196601,5.088420737,0.504434412
-883.9196601,5.112008595,0.504797377
-883.9196601,5.135596453,0.505227453
-883.9196601,5.15918431,0.505721288
-883.9196601,5.182772168,0.506274609
-883.9196601,5.206360026,0.50688294
-883.9196601,5.229947884,0.507541802
-883.9196601,5.253535741,0.508246717
-883.9196601,5.277123599,0.508993204
-883.9196601,5.300711457,0.509776786
-883.9196601,5.324299315,0.510592983
-883.9196601,5.347887173,0.511437317
-883.9196601,5.37147503,0.512305309
-883.9196601,5.395062888,0.51319248
-883.9196601,5.418650746,0.514094351
-883.9196601,5.442238604,0.515006443
-883.9196601,5.465826462,0.515924281
-883.9196601,5.489414319,0.516843419
-883.9196601,5.513002177,0.517759516
-883.9196601,5.536590035,0.51866842
-883.9196601,5.560177893,0.519566244
-883.9196601,5.58376575,0.520449328
-883.9196601,5.607353608,0.52131416
-883.9196601,5.630941466,0.522157283
-883.9196601,5.654529324,0.522975254
-883.9196601,5.678117182,0.523764629
-883.9196601,5.701705039,0.524521965
-883.9196601,5.725292897,0.525243817
-883.9196601,5.748880755,0.525926743
-883.9196601,5.772468613,0.526567297
-883.9196601,5.796056471,0.527162038
-883.9196601,5.819644328,0.527707521
-883.9196601,5.843232186,0.528200302
-883.9196601,5.866820044,0.528636938
-883.9196601,5.890407902,0.529013985
-883.9196601,5.913995759,0.529327999
-883.9196601,5.937583617,0.529575537
-883.9196601,5.961171475,0.529753169
-883.9196601,5.984759333,0.529857776
-883.9196601,6.008347191,0.529887367
-883.9196601,6.031935048,0.52984236
-883.9196601,6.055522906,0.529726647
-883.9196601,6.079110764,0.529547535
-883.9196601,6.102698622,0.529314614
-883.9196601,6.12628648,0.529038504
-883.9196601,6.149874337,0.528730089
-883.9196601,6.173462195,0.52840026
-883.9196601,6.197050053,0.528059907
-883.9196601,6.220637911,0.527719922
-883.9196601,6.244225768,0.527391197
-883.9196601,6.267813626,0.527084621
-883.9196601,6.291401484,0.526811086
-883.9196601,6.314989342,0.526581484
-883.9196601,6.3385772,0.526406705
-883.9196601,6.362165057,0.52629764
-883.9196601,6.385752915,0.526265181
-883.9196601,6.409340773,0.526320218
-883.9196601,6.432928631,0.526473536
-883.9196601,6.456516489,0.526735121
-883.9196601,6.480104346,0.527112734
-883.9196601,6.503692204,0.527610101
-883.9196601,6.527280062,0.528225967
-883.9196601,6.55086792,0.528954905
-883.9196601,6.574455777,0.529789116
-883.9196601,6.598043635,0.530719909
-883.9196601,6.621631493,0.531738454
-883.9196601,6.645219351,0.532835922
-883.9196601,6.668807209,0.534003485
-883.9196601,6.692395066,0.535232312
-883.9196601,6.715982924,0.536513576
-883.9196601,6.739570782,0.537838448
-883.9196601,6.76315864,0.539198097
-883.9196601,6.786746498,0.540583696
-883.9196601,6.810334355,0.541986416
-883.9196601,6.833922213,0.543397426
-883.9196601,6.857510071,0.544807899
-883.9196601,6.881097929,0.546209006
-883.9196601,6.904685786,0.547591916
-883.9196601,6.928273644,0.548947802
-883.9196601,6.951861502,0.550267835
-883.9196601,6.97544936,0.551543184
-883.9196601,6.999037218,0.552765023
-883.9196601,7.022625075,0.55392452
-883.9196601,7.046212933,0.555012848
-883.9196601,7.069800791,0.556021178
-883.9196601,7.093388649,0.556940679
-883.9196601,7.116976506,0.557762525
-883.9196601,7.140564364,0.558477884
-883.9196601,7.164152222,0.559077929
-883.9196601,7.18774008,0.559553831
-883.9196601,7.211327938,0.55989676
-883.9196601,7.234915795,0.560097888
-883.9196601,7.258503653,0.560148385
-883.9196601,7.282091511,0.560039422
-883.9196601,7.305679369,0.559762171
-883.9196601,7.329267227,0.559307803
-883.9196601,7.352855084,0.558667488
-883.9196601,7.376442942,0.557832397
-883.9196601,7.4000308,0.556793703
-883.9196601,7.423618658,0.555542574
-883.9196601,7.447206515,0.554070183
-883.9196601,7.470794373,0.552367701
-883.9196601,7.494382231,0.550426298
-883.9196601,7.517970089,0.548346188
-883.9196601,7.541557947,0.54635111
-883.9196601,7.565145804,0.544777985
-882.4193396,0.512376327,0.354679504
-882.4193396,0.535964185,0.354622644
-882.4193396,0.559552042,0.354599322
-882.4193396,0.5831399,0.354653505
-882.4193396,0.606727758,0.35480894
-882.4193396,0.630315616,0.355072137
-882.4193396,0.653903473,0.355437737
-882.4193396,0.677491331,0.355900385
-882.4193396,0.701079189,0.356454725
-882.4193396,0.724667047,0.3570954
-882.4193396,0.748254905,0.357817054
-882.4193396,0.771842762,0.358614331
-882.4193396,0.79543062,0.359481874
-882.4193396,0.819018478,0.360414327
-882.4193396,0.842606336,0.361406334
-882.4193396,0.866194194,0.362452538
-882.4193396,0.889782051,0.363547583
-882.4193396,0.913369909,0.364686114
-882.4193396,0.936957767,0.365862773
-882.4193396,0.960545625,0.367072204
-882.4193396,0.984133482,0.368309052
-882.4193396,1.00772134,0.369567959
-882.4193396,1.031309198,0.370843569
-882.4193396,1.054897056,0.372130527
-882.4193396,1.078484914,0.373423475
-882.4193396,1.102072771,0.374717058
-882.4193396,1.125660629,0.376005919
-882.4193396,1.149248487,0.377284702
-882.4193396,1.172836345,0.378548051
-882.4193396,1.196424202,0.379790609
-882.4193396,1.22001206,0.381007021
-882.4193396,1.243599918,0.382191929
-882.4193396,1.267187776,0.383339977
-882.4193396,1.290775634,0.38444581
-882.4193396,1.314363491,0.38550407
-882.4193396,1.337951349,0.386509402
-882.4193396,1.361539207,0.38745645
-882.4193396,1.385127065,0.388339856
-882.4193396,1.408714923,0.389154265
-882.4193396,1.43230278,0.389894321
-882.4193396,1.455890638,0.390554666
-882.4193396,1.479478496,0.391129964
-882.4193396,1.503066354,0.391615257
-882.4193396,1.526654211,0.392006973
-882.4193396,1.550242069,0.392304472
-882.4193396,1.573829927,0.392511335
-882.4193396,1.597417785,0.392635271
-882.4193396,1.621005643,0.39268674
-882.4193396,1.6445935,0.392677439
-882.4193396,1.668181358,0.392619377
-882.4193396,1.691769216,0.392524572
-882.4193396,1.715357074,0.392405042
-882.4193396,1.738944932,0.392272804
-882.4193396,1.762532789,0.392139878
-882.4193396,1.786120647,0.39201828
-882.4193396,1.809708505,0.391920029
-882.4193396,1.833296363,0.391857142
-882.4193396,1.85688422,0.391841638
-882.4193396,1.880472078,0.391885534
-882.4193396,1.904059936,0.392000848
-882.4193396,1.927647794,0.392199598
