Frequency (kHz),SA_Noise (dBm),PD_Noise  (dBm),Probe_Noise  (dBm),Probe_Coupling_Noise  (dBm),Probe_Coupling_RF_Noise  (dBm)
12.19600726,-128.7335982,-108.9208006,-107.1983994,-94.6632004,-102.5999988
12.2323049,-128.0263948,-108.4919998,-107.5384002,-95.095198,-101.9615998
12.26860254,-127.6456008,-108.9304002,-107.1623992,-94.3160004,-102.2592012
12.30490018,-128.2672012,-108.6759994,-107.7296006,-95.2736006,-102.415201
12.34119782,-127.9343992,-108.2551986,-107.1216004,-94.9632006,-102.7184004
12.37749546,-129.0496006,-109.0895996,-107.3784012,-95.3039992,-102.7183992
12.4137931,-128.6167984,-108.606401,-107.3984006,-94.7551988,-102.4472
12.45009074,-129.3023972,-108.5127988,-107.2744002,-94.3048004,-103.2151994
12.48638838,-128.9223968,-108.1175998,-107.2976014,-94.6184004,-102.4680008
12.52268603,-128.7615996,-107.8703996,-106.4783998,-94.6239988,-101.8927994
12.55898367,-128.4735992,-108.7856018,-106.6871992,-94.6080002,-102.4455994
12.59528131,-129.5912002,-108.1640016,-106.6728014,-95.3576004,-102.0520004
12.63157895,-128.4544006,-108.6839996,-105.8488006,-95.0440002,-101.2048006
12.66787659,-129.2847992,-108.4671998,-105.9984008,-94.0008012,-102.2608
12.70417423,-129.5223998,-107.856001,-106.8775984,-94.5944002,-102.974399
12.74047187,-129.008804,-108.5,-107.4087998,-94.7504014,-102.1216004
12.77676951,-128.6471968,-108.4559996,-107.0488004,-94.8775984,-102.217601
12.81306715,-129.051999,-108.3800002,-106.9328018,-93.8191986,-102.7352006
12.84936479,-129.0944002,-108.384801,-106.6064012,-93.5472,-102.2639998
12.88566243,-130.1007994,-108.4535994,-107.1240006,-93.6432022,-103.044002
12.92196007,-129.1351974,-107.6544006,-106.8776002,-93.7688004,-103.257599
12.95825771,-128.406401,-108.8272004,-107.3959992,-94.1423996,-102.4943986
12.99455535,-128.2919984,-108.7576004,-107.210399,-94.4983992,-103.1559996
13.03085299,-128.9863984,-109.148799,-106.9607986,-94.3423996,-102.6471998
13.06715064,-128.6352018,-108.9256014,-106.5,-93.6136018,-103.6591992
13.10344828,-128.3136002,-108.4423996,-106.4655992,-94.1032,-103.5479982
13.13974592,-129.847998,-107.8584016,-107.2912002,-94.6168,-103.511998
13.17604356,-129.1208008,-108.3552002,-106.9272018,-94.4256012,-103.3311996
13.2123412,-128.9967986,-108.4287996,-106.3287996,-94.5184004,-103.5863986
13.24863884,-129.581601,-107.6759994,-106.8192002,-94.2576002,-102.8375992
13.28493648,-128.5800002,-108.0647996,-107.3968002,-95.5528002,-103.7503996
13.32123412,-129.635202,-107.8975982,-107.5447998,-93.6856004,-102.9671996
13.35753176,-129.5207978,-108.082399,-107.2160004,-93.9751998,-102.7888
13.3938294,-129.066397,-107.7343994,-106.7216018,-94.655998,-103.6112016
13.43012704,-130.3040024,-107.740799,-107.1343994,-94.592801,-103.4688004
13.46642468,-128.7520004,-107.7455994,-107.4095994,-94.9279982,-102.8968018
13.50272232,-128.2895996,-108.6535996,-106.852002,-94.5664018,-102.6143996
13.53901996,-129.4023986,-108.8207992,-107.168001,-94.2143998,-102.9664002
13.5753176,-128.7296002,-107.9472016,-106.6960006,-93.435199,-103.3999984
13.61161525,-130.2592012,-107.3799986,-106.628801,-94.804799,-103.7776
13.64791289,-129.1848022,-107.6664018,-106.8496004,-94.9367998,-103.2743988
13.68421053,-129.9384,-107.362401,-107.6608002,-95.1671996,-102.2960006
13.72050817,-129.2455994,-108.7911988,-106.9176028,-94.464,-103.287201
13.75680581,-128.3599976,-109.093599,-106.0464004,-94.2664,-104.1383986
13.79310345,-129.067198,-109.1072008,-106.4991988,-94.1959992,-103.2751998
13.82940109,-129.0799988,-107.4224,-107.076001,-94.5455992,-103.5543992
13.86569873,-129.3216034,-108.1584016,-107.4496002,-94.8904006,-103.8480014
13.90199637,-129.1768006,-108.9768006,-106.5464004,-95.2287998,-102.8824006
13.93829401,-129.414398,-107.7679992,-106.908,-94.2919996,-103.7832014
13.97459165,-128.7175962,-108.985599,-107.4527998,-94.8888016,-103.4880006
14.01088929,-130.1368012,-108.5168,-107.0087998,-95.8128006,-102.6184006
14.04718693,-130.4984008,-108.9447982,-106.2487992,-94.095201,-103.3136
14.08348457,-129.2736008,-107.8840012,-106.364,-95.1968002,-103.1144012
14.11978221,-129.3384002,-107.3192018,-106.6688002,-94.7399994,-104.0039992
14.15607985,-129.823999,-107.4056002,-106.9048004,-95.0559984,-104.2856002
14.1923775,-129.453595,-108.2191986,-107.2992004,-95.0024004,-103.1408006
14.22867514,-129.2559996,-108.7847992,-106.5304014,-95.3384002,-102.5920012
14.26497278,-130.0855986,-108.3151992,-107.0527998,-94.7343994,-104.2208006
14.30127042,-129.5784028,-108.3328018,-107.6743988,-94.4511994,-103.2111998
14.33756806,-129.4632004,-108.2111986,-107.287999,-93.856,-103.9871994
14.3738657,-128.8743988,-107.6711988,-106.6167984,-94.4559998,-103.1535994
14.41016334,-129.711203,-107.9688004,-107.1904006,-94.7896014,-103.218399
14.44646098,-130.3823976,-108.095198,-107.8015992,-93.8479994,-102.8480012
14.48275862,-129.1952012,-108.347998,-107.1527984,-94.3591992,-102.8951996
14.51905626,-129.9567962,-108.0504012,-107.0704008,-93.848001,-103.6471986
14.5553539,-129.9447968,-108.5160002,-106.3287994,-93.9615982,-103.2432008
14.59165154,-130.7527986,-108.3040008,-106.8912004,-94.1832002,-103.5159988
14.62794918,-128.8975982,-107.756801,-107.0224,-95.1712004,-103.0512008
14.66424682,-129.2679994,-107.870401,-106.2143996,-94.1240006,-103.3712008
14.70054446,-129.5640028,-107.8936004,-106.7712004,-94.3960006,-103.6328002
14.73684211,-129.2735962,-107.6920014,-106.2976012,-95.1352008,-103.6087998
14.77313975,-130.0808014,-108.3464004,-106.5680008,-94.6615998,-103.4456008
14.80943739,-129.8231994,-109.1824006,-106.773599,-94.2696014,-102.444
14.84573503,-129.4408034,-108.1727994,-106.8927992,-94.2888,-104.0615984
14.88203267,-129.4736022,-107.7743988,-106.9864016,-94.7728012,-103.1968004
14.91833031,-128.2104004,-108.2936006,-106.5575988,-95.7791994,-103.387201
14.95462795,-129.940802,-109.0024018,-107.028801,-94.6432008,-103.5304
14.99092559,-129.1823974,-107.884799,-106.5215986,-93.892,-103.4503996
15.02722323,-128.919998,-107.8615998,-106.765599,-94.8847992,-104.5768004
15.06352087,-129.4168016,-108.1232024,-106.1160002,-94.672798,-103.4647996
15.09981851,-129.9215974,-107.6712006,-106.857599,-94.5503996,-103.1736008
15.13611615,-129.0511994,-107.9895996,-106.0967986,-94.6024004,-103.4960024
15.17241379,-130.087201,-107.128801,-106.6368012,-94.4912,-103.4408002
15.20871143,-129.849597,-108.806401,-106.6752016,-93.6976028,-102.7295988
15.24500907,-129.6608004,-108.8160004,-106.1167984,-94.6648008,-102.8951996
15.28130672,-129.6815978,-107.1271986,-106.2183988,-94.0552002,-103.0743988
15.31760436,-129.8440004,-107.993599,-106.7783996,-94.7975998,-102.6872008
15.353902,-129.5288024,-107.8927996,-106.8656008,-94.2136002,-103.1056016
15.39019964,-129.4944016,-107.451999,-106.1935986,-93.4776002,-103.2264008
15.42649728,-129.547998,-107.9776,-107.3287996,-93.580002,-102.8600006
15.46279492,-130.1112016,-107.8432006,-106.510399,-93.9919998,-103.025601
15.49909256,-129.0360018,-108.3248004,-106.7159986,-94.2584,-103.1968002
15.5353902,-130.1632018,-108.4056,-106.9496004,-94.9528,-102.4463974
15.57168784,-129.879199,-107.6800002,-106.7920016,-93.8736008,-104.0335998
15.60798548,-129.787201,-106.9904006,-108.070401,-93.4136,-103.5703996
15.64428312,-130.3160002,-107.9408008,-106.4047988,-93.8807998,-103.2688004
15.68058076,-129.5352004,-107.9728012,-105.9072006,-94.0664002,-102.9368012
15.7168784,-129.7832034,-107.5264008,-107.2287994,-93.8007996,-103.7167996
15.75317604,-129.8303954,-107.9839998,-106.6063984,-94.6472014,-103.7831988
15.78947368,-129.7776002,-108.1080004,-106.5240006,-94.0456008,-103.3416016
15.82577132,-129.7416014,-107.6295992,-106.564801,-94.4519988,-103.4712006
15.86206897,-129.8559996,-107.6472002,-106.7191986,-94.4311996,-103.9792008
15.89836661,-129.5447996,-107.927202,-106.3623992,-94.2839996,-103.9528
15.93466425,-129.6424012,-107.7399994,-106.5359986,-94.8576004,-102.8456024
15.97096189,-129.1296022,-107.568802,-106.5952012,-94.9392014,-103.1656006
16.00725953,-129.314398,-108.5367996,-107.0328,-93.7415988,-102.4567994
16.04355717,-129.3535964,-107.264,-106.1095978,-94.8375992,-103.3944
16.07985481,-129.6287968,-107.5839996,-106.1231994,-94.9688002,-102.9207992
16.11615245,-130.6287964,-108.0552002,-106.6456008,-94.470401,-102.3784012
16.15245009,-130.2624024,-107.3136004,-106.015201,-94.0495986,-102.6415986
16.18874773,-129.4855988,-107.5568008,-105.8391996,-94.028798,-102.6367996
16.22504537,-130.4272004,-107.9128006,-106.781598,-94.1320008,-103.4975998
16.26134301,-130.0695984,-107.4991988,-106.3175978,-95.1007978,-102.8303986
16.29764065,-129.1848022,-107.9968002,-106.7616014,-94.7143998,-103.2247998
16.33393829,-130.5056,-108.2832,-106.1032,-94.8215988,-102.229599
16.37023593,-129.3232026,-108.2167998,-107.3160004,-94.842398,-102.4704008
16.40653358,-129.9,-107.992,-106.0496004,-95.0143998,-102.7207994
16.44283122,-130.1103972,-107.0800004,-106.3192002,-93.8799986,-102.5992004
16.47912886,-130.1007996,-107.9032,-107.3575988,-93.8535994,-102.4936004
16.5154265,-130.3967986,-108.3463988,-107.131198,-93.5520004,-103.4631988
16.55172414,-129.229599,-107.7199996,-107.7328004,-94.1888,-103.323201
16.58802178,-130.1984008,-107.8079988,-107.2199982,-95.1935992,-103.2056
16.62431942,-129.699997,-108.464801,-106.8959992,-94.2664004,-103.1768004
16.66061706,-129.2200044,-108.0231996,-107.2056002,-93.9448016,-103.0655992
16.6969147,-130.2519988,-108.373599,-106.7360002,-94.459198,-103.2175996
16.73321234,-130.5039978,-107.6871994,-107.0191986,-94.8944,-102.5432006
16.76950998,-130.2160004,-108.1407988,-105.8744002,-94.484001,-102.8447998
16.80580762,-129.659996,-107.629599,-106.1936004,-94.8248016,-103.4248
16.84210526,-130.3775972,-108.0567994,-107.4055982,-94.740001,-103.1327988
16.8784029,-129.942398,-107.9160022,-106.6384002,-94.9535994,-103.7319992
16.91470054,-128.9919998,-107.3408004,-107.5303986,-93.4119996,-102.9087984
16.95099819,-130.5144012,-107.731201,-106.398401,-94.3104004,-103.0575988
16.98729583,-130.0016008,-107.8551988,-106.6767988,-94.9672012,-103.0880004
17.02359347,-129.8240006,-107.8384004,-106.3783996,-94.7472,-102.9215988
17.05989111,-130.2119996,-108.203999,-106.5240006,-93.6312012,-102.7871992
17.09618875,-129.8727996,-106.9911986,-106.0312012,-93.887999,-103.0871994
17.13248639,-129.594397,-106.4824004,-107.1848008,-94.0112016,-103.1496002
17.16878403,-129.7247986,-106.7479998,-106.5055986,-94.5408006,-103.3039994
17.20508167,-130.5944,-107.7376008,-107.2304,-94.7584,-103.8336
17.24137931,-130.2112032,-107.9511992,-106.840799,-94.018399,-102.5031998
17.27767695,-130.6656036,-108.2440002,-106.4504,-94.370401,-103.3567994
17.31397459,-129.8159974,-109.1247986,-106.1895996,-94.4896012,-103.1944002
17.35027223,-129.9664,-107.6839998,-105.9192016,-93.7080004,-103.5864014
17.38656987,-129.9191986,-108.5583984,-106.5984008,-94.6631988,-103.2496002
17.42286751,-129.8112032,-108.1655988,-107.5144012,-93.7,-102.7231994
17.45916515,-129.8496002,-107.2664002,-106.908,-94.6880004,-103.223201
17.49546279,-130.6256012,-107.7328002,-107.9384002,-94.408,-103.1936006
17.53176044,-130.503198,-107.3072006,-106.1352004,-95.6336,-103.2056016
17.56805808,-130.0279998,-107.2624008,-106.4928012,-94.3615998,-103.3431974
17.60435572,-130.4232024,-107.4479982,-105.664,-94.3095994,-102.906401
17.64065336,-129.7935974,-107.9280014,-107.4047986,-94.0743988,-103.1216004
17.676951,-130.5431976,-107.7936004,-106.8048004,-94.3287994,-103.0616014
17.71324864,-130.5159972,-107.7991988,-106.7888,-94.4272002,-102.1688004
17.74954628,-131.1592012,-107.579999,-106.4280014,-94.3151994,-102.7608016
17.78584392,-130.5199984,-108.0007994,-105.8047988,-93.9000016,-103.7343996
17.82214156,-130.125598,-108.5143998,-106.463202,-94.7760008,-103.5760008
17.8584392,-130.7807984,-108.4815994,-106.5023986,-94.3736008,-103.2800004
17.89473684,-129.944,-108.428001,-107.028,-93.3487994,-105.776001
17.93103448,-130.084,-106.879997,-106.571999,-94.0344024,-105.264
17.96733212,-131.380005,-107.587997,-106.772003,-93.7807998,-103.052002
18.00362976,-132.891998,-105.655998,-106.744003,-93.2743976,-105.807999
18.0399274,-130.360001,-105.564003,-106.648003,-94.0103974,-102.344002
18.07622505,-131.035995,-106.839996,-106.491997,-94.6920016,-102.120003
18.11252269,-131.440002,-107.463997,-104.739998,-95.8848008,-103.755997
18.14882033,-131.408005,-107.963997,-105.620003,-95.3936024,-104.788002
18.18511797,-128.768005,-108.592003,-108.564003,-94.4847992,-101.751999
18.22141561,-130.975998,-107.760002,-107.112,-94.9391984,-100.776001
18.25771325,-130.972,-107.216003,-106.311996,-94.8535994,-101.332001
18.29401089,-131.643997,-109.148003,-106.671997,-95.543198,-102.5
18.33030853,-131.531998,-106.639999,-106.512001,-94.2832,-103.856003
18.36660617,-130.783997,-107.311996,-106.475998,-94.202402,-103.963997
18.40290381,-129.184006,-106.167999,-106.891998,-94.9312028,-104.276001
18.43920145,-131.084,-107.896004,-106.344002,-94.8367996,-100.403999
18.47549909,-130.884003,-108.736,-106.407997,-94.6671996,-102.783997
18.51179673,-130.723999,-108.148003,-106.195999,-94.6304002,-102.5
18.54809437,-130.496002,-108.211998,-105.531998,-94.3600006,-102.804001
18.58439201,-130.391998,-107.82,-105.912003,-95.0352004,-103.571999
18.62068966,-131.259995,-108.239998,-106.003998,-93.8232012,-104.456001
18.6569873,-130.535995,-107.931999,-108.096001,-94.4248002,-102.559998
18.69328494,-130.507996,-108.860001,-107.176003,-94.4615994,-103.624001
18.72958258,-130.048004,-105.328003,-107.475998,-94.9095994,-103.239998
18.76588022,-130.080002,-106.32,-109.307999,-94.3392016,-103.972
18.80217786,-130.427994,-106.344002,-106.592003,-95.7496018,-104
18.8384755,-130.264008,-108.875999,-104.823997,-93.060002,-102.220001
18.87477314,-129.632004,-109.512001,-104.828003,-94.547203,-103.528
18.91107078,-130.483994,-107.491997,-105.508003,-94.3991986,-103.472
18.94736842,-131.123993,-107.015999,-105.716003,-94.8863986,-102.612
18.98366606,-130.968002,-109.208,-106.720001,-93.9775986,-101.648003
19.0199637,-132.703995,-108.372002,-104.688004,-93.6447984,-102.508003
19.05626134,-131.212006,-108.192001,-105.884003,-94.3872012,-104.019997
19.09255898,-131.792007,-108.935997,-105.571999,-93.581601,-102.907997
19.12885662,-129.216003,-105.608002,-107.783997,-95.5680008,-104.512001
19.16515426,-130.455994,-109.652,-105.667999,-94.7912,-104.232002
19.20145191,-132.516006,-105.487999,-106.867996,-95.0487992,-103.328003
19.23774955,-131.104004,-107.183998,-106.891998,-93.8872008,-103.199997
19.27404719,-130.983994,-107.739998,-106.704002,-95.182402,-104.512001
19.31034483,-131.339996,-107.267998,-106.084,-94.8456008,-101.356003
19.34664247,-129.548004,-107.875999,-107.767998,-94.892798,-101.311996
19.38294011,-131.423996,-107.428001,-107.416,-94.3928022,-100.127998
19.41923775,-130.363998,-105.227997,-106.612,-94.6600024,-102.540001
19.45553539,-129.207993,-105.468002,-104.344002,-94.5039978,-102.036003
19.49183303,-131.112,-109.236,-107.040001,-95.1615982,-102.440002
19.52813067,-133.031998,-109.192001,-106.396004,-95.5199998,-102.556
19.56442831,-131.888,-108.463997,-105.888,-95.3216,-103.323997
19.60072595,-129.528,-106.879997,-107.127998,-94.8304014,-103.528
19.63702359,-129.759995,-106.984001,-106.984001,-95.1367992,-103.267998
19.67332123,-130.916,-106.316002,-104.496002,-94.5519988,-104.092003
19.70961887,-131.479996,-107.204002,-106.424004,-94.6359998,-102.32
19.74591652,-132.179993,-109.096001,-105.403999,-93.7943998,-101.304001
19.78221416,-132.048004,-106.515999,-106.435997,-95.309599,-103.755997
19.8185118,-129.531998,-108.143997,-107.015999,-95.0999998,-103.036003
19.85480944,-129.503998,-108.059998,-108.776001,-94.468001,-103.220001
19.89110708,-129.559998,-107.152,-106.171997,-94.8495984,-104.092003
19.92740472,-130.623993,-105.807999,-106.708,-94.0191988,-101.571999
19.96370236,-132.723999,-106.692001,-106.671997,-93.6143998,-99.704002
