Frequency (kHz),SA_Noise (dBm),CA_Noise_open  (dBm),CA_Noise_cell_connected  (dBm),Probe_Noise  (dBm),Probe_Coupling_Noise  (dBm),Probe_Coupling_RF_Noise  (dBm)
2.395644283,-118.6511992,-111.1839994,-97.2448,-97.3791994,-96.6600004,-93.2624006
2.431941924,-119.9927994,-111.4888002,-99.276001,-99.306398,-97.3080004,-93.4143998
2.468239564,-120.101599,-111.4000002,-99.3384002,-98.4799986,-97.2119978,-93.5447998
2.504537205,-119.7384002,-111.256,-99.4488006,-99.3255994,-97.8759978,-92.8055986
2.540834846,-119.1296006,-110.7608004,-98.5216002,-98.6903994,-96.2583998,-93.1919984
2.577132486,-119.9472018,-109.7024,-95.4768004,-96.4584,-94.0679994,-91.9536012
2.613430127,-120.7615998,-109.4520004,-98.7255996,-98.0847992,-96.6895996,-92.3007996
2.649727768,-120.0503998,-111.2727996,-98.5128006,-98.8895998,-97.4919998,-92.5543992
2.686025408,-119.9248,-110.9087998,-99.1928008,-98.9032014,-97.8135986,-92.5191986
2.722323049,-120.3256014,-110.6335996,-99.528,-98.864,-96.940001,-93.0375992
2.75862069,-119.9487976,-105.3695998,-91.4095992,-92.323201,-92.0472,-91.8240006
2.79491833,-120.509601,-111.2040006,-98.2264008,-97.2520006,-97.0807998,-93.264801
2.831215971,-121.7879988,-111.2184008,-97.7904008,-98.112001,-96.7751998,-92.6880004
2.867513612,-119.7352002,-112.0751984,-98.4695996,-99.2151994,-96.5927994,-92.2263994
2.903811252,-120.8535998,-111.0895998,-98.807199,-97.3095978,-95.8328004,-92.4063996
2.940108893,-120.5927994,-111.2519988,-98.2367996,-98.1336012,-97.0624008,-91.1880006
2.976406534,-119.6007978,-110.412799,-97.2968002,-97.6472,-96.3416,-92.5031998
3.012704174,-120.3967984,-111.0784012,-98.5167982,-98.8055998,-95.8600008,-91.8752
3.049001815,-121.1159988,-110.5031996,-97.1296006,-98.2311998,-95.7816026,-92.3919998
3.085299456,-121.0576018,-110.8727996,-96.408,-98.3552002,-96.5352006,-91.4968
3.121597096,-120.2831984,-110.6479994,-98.8304,-97.0175996,-97.1128024,-91.3888
3.157894737,-121.0624008,-103.9768006,-89.9576004,-91.0191988,-91.759201,-89.856801
3.194192377,-121.2048004,-110.7151992,-98.0240006,-97.6944,-96.8696,-91.968799
3.230490018,-121.7287994,-110.872801,-97.3015992,-96.406401,-95.4400008,-92.4088012
3.266787659,-121.5247984,-109.4535996,-96.8223982,-97.5159988,-96.1687988,-91.5360016
3.303085299,-120.9448014,-111.4464006,-97.5975998,-97.4719986,-96.0615998,-91.5720002
3.33938294,-121.082399,-104.1472018,-90.3543992,-91.1311996,-91.5047988,-90.204799
3.375680581,-120.934401,-102.6728014,-88.845601,-89.559201,-90.1272004,-88.8264008
3.411978221,-122.2135988,-110.0288008,-97.1519974,-96.9423996,-95.9664002,-91.1344012
3.448275862,-120.9695998,-109.7168014,-97.472,-97.3951998,-95.7784014,-91.7839996
3.484573503,-121.7639984,-108.5024002,-96.2047988,-96.3768008,-95.5975998,-92.0047988
3.520871143,-121.5272004,-110.6424012,-95.3048004,-98.0751982,-96.0823988,-92.6487994
3.557168784,-121.3632004,-108.764,-95.8719986,-96.4832002,-95.710399,-91.1520022
3.593466425,-120.993599,-110.4231996,-98.0639982,-97.9479996,-96.0575988,-92.2224
3.629764065,-121.6671994,-109.8720004,-96.9824004,-97.463202,-96.1104018,-91.7247984
3.666061706,-122.135202,-108.5216002,-96.7615996,-96.6455996,-95.8976,-91.5087996
3.702359347,-122.3591996,-107.0319992,-96.8272004,-93.842401,-94.415201,-90.6848006
3.738656987,-121.1463988,-96.772,-84.387999,-85.0263994,-85.2063994,-85.0567992
3.774954628,-121.6424012,-96.9679992,-84.5920012,-85.204802,-85.415201,-85.1616016
3.811252269,-121.6352004,-107.9216006,-95.095201,-96.0984008,-95.1784012,-90.507199
3.847549909,-120.538399,-107.5760012,-94.0999998,-95.704799,-94.838399,-90.1751998
3.88384755,-121.9176012,-106.8056,-93.6151992,-94.5440018,-94.0391996,-90.7392014
