delta_c/2pi (MHz),Omega_p/2pi (MHz),EIT Amplitude (arb. units)
-999.4443398,3.932615706,0.023509778
-999.4443398,3.956203563,0.023679241
-999.4443398,3.979791421,0.024093511
-999.4443398,4.003379279,0.024772087
-999.4443398,4.026967137,0.02572887
-999.4443398,4.050554994,0.026966442
-999.4443398,4.074142852,0.028471884
-999.4443398,4.09773071,0.030217835
-999.4443398,4.121318568,0.032167786
-999.4443398,4.144906426,0.034281311
-999.4443398,4.168494283,0.036517123
-999.4443398,4.192082141,0.038833922
-999.4443398,4.215669999,0.041190408
-999.4443398,4.239257857,0.043545282
-999.4443398,4.262845715,0.045857243
-999.4443398,4.286433572,0.048084991
-999.4443398,4.31002143,0.050187227
-999.4443398,4.333609288,0.052122651
-999.4443398,4.357197146,0.053849964
-999.4443398,4.380785003,0.055327864
-999.4443398,4.404372861,0.056515053
-999.4443398,4.427960719,0.05737023
-999.4443398,4.451548577,0.057852097
-999.4443398,4.475136435,0.057919731
-999.4443398,4.498724292,0.057535557
-999.4443398,4.52231215,0.056671686
-999.4443398,4.545900008,0.055318392
-999.4443398,4.569487866,0.053489047
-999.4443398,4.593075724,0.051216959
-999.4443398,4.616663581,0.048547133
-999.4443398,4.640251439,0.045529164
-999.4443398,4.663839297,0.042213433
-999.4443398,4.687427155,0.038650324
-999.4443398,4.711015012,0.034890219
-999.4443398,4.73460287,0.030983503
-999.4443398,4.758190728,0.026980557
-999.4443398,4.781778586,0.022931767
-999.4443398,4.805366444,0.018887513
-999.4443398,4.828954301,0.014898181
-999.4443398,4.852542159,0.011014153
-999.4443398,4.876130017,0.007285812
-999.4443398,4.899717875,0.003763541
-999.4443398,4.923305732,0.000497724
-999.4443398,4.94689359,-0.002461255
-999.4443398,4.970481448,-0.005063015
-999.4443398,4.994069306,-0.007257171
-999.4443398,5.017657164,-0.008993546
-999.4443398,5.041245021,-0.010224815
-999.4443398,5.064832879,-0.010913017
-999.4443398,5.088420737,-0.011039095
-999.4443398,5.112008595,-0.010609872
-999.4443398,5.135596453,-0.009656245
-999.4443398,5.15918431,-0.00822436
-999.4443398,5.182772168,-0.006366879
-999.4443398,5.206360026,-0.004137894
-999.4443398,5.229947884,-0.001591519
-999.4443398,5.253535741,0.001218133
-999.4443398,5.277123599,0.004236949
-999.4443398,5.300711457,0.007410816
-999.4443398,5.324299315,0.010685621
-999.4443398,5.347887173,0.01400725
-999.4443398,5.37147503,0.01732159
-999.4443398,5.395062888,0.020574528
-999.4443398,5.418650746,0.023711951
-999.4443398,5.442238604,0.026679745
-999.4443398,5.465826462,0.029424035
-999.4443398,5.489414319,0.031893595
-999.4443398,5.513002177,0.034045427
-999.4443398,5.536590035,0.035852609
-999.4443398,5.560177893,0.037309538
-999.4443398,5.58376575,0.038429812
-999.4443398,5.607353608,0.039238793
-999.4443398,5.630941466,0.039766693
-999.4443398,5.654529324,0.040044689
-999.4443398,5.678117182,0.040103966
-999.4443398,5.701705039,0.039975706
-999.4443398,5.725292897,0.039691096
-999.4443398,5.748880755,0.039281317
-999.4443398,5.772468613,0.038777556
-999.4443398,5.796056471,0.038210996
-999.4443398,5.819644328,0.03761282
-999.4443398,5.843232186,0.037014214
-999.4443398,5.866820044,0.036446361
-999.4443398,5.890407902,0.035940445
-999.4443398,5.913995759,0.035527651
-999.4443398,5.937583617,0.035239163
-999.4443398,5.961171475,0.035106115
-999.4443398,5.984759333,0.035158592
-999.4443398,6.008347191,0.035422833
-999.4443398,6.031935048,0.035916891
-999.4443398,6.055522906,0.036646999
-999.4443398,6.079110764,0.037607776
-999.4443398,6.102698622,0.038786083
-999.4443398,6.12628648,0.040165266
-999.4443398,6.149874337,0.041727782
-999.4443398,6.173462195,0.043456064
-999.4443398,6.197050053,0.04533254
-999.4443398,6.220637911,0.047339641
-999.4443398,6.244225768,0.049459797
-999.4443398,6.267813626,0.05167544
-999.4443398,6.291401484,0.053968999
-999.4443398,6.314989342,0.056322904
-999.4443398,6.3385772,0.058719586
-999.4443398,6.362165057,0.061141476
-999.4443398,6.385752915,0.063571003
-999.4443398,6.409340773,0.065990598
-999.4443398,6.432928631,0.068382793
-999.4443398,6.456516489,0.070730884
-999.4443398,6.480104346,0.073020288
-999.4443398,6.503692204,0.075240281
-999.4443398,6.527280062,0.077384893
-999.4443398,6.55086792,0.079452138
-999.4443398,6.574455777,0.081442296
-999.4443398,6.598043635,0.083356501
-999.4443398,6.621631493,0.085196017
-999.4443398,6.645219351,0.086962107
-999.4443398,6.668807209,0.088656037
-999.4443398,6.692395066,0.090279069
-999.4443398,6.715982924,0.091832469
-999.4443398,6.739570782,0.093317499
-999.4443398,6.76315864,0.094735425
-999.4443398,6.786746498,0.09608751
-999.4443398,6.810334355,0.097375017
-999.4443398,6.833922213,0.098599212
-999.4443398,6.857510071,0.099761358
-999.4443398,6.881097929,0.10086272
-999.4443398,6.904685786,0.101904561
-999.4443398,6.928273644,0.102888145
-999.4443398,6.951861502,0.103814736
-999.4443398,6.97544936,0.104685599
-999.4443398,6.999037218,0.105501998
-999.4443398,7.022625075,0.106265196
-999.4443398,7.046212933,0.106976457
-999.4443398,7.069800791,0.107637046
-999.4443398,7.093388649,0.108248227
-999.4443398,7.116976506,0.108811264
-999.4443398,7.140564364,0.10932742
-999.4443398,7.164152222,0.10979796
-999.4443398,7.18774008,0.110224148
-999.4443398,7.211327938,0.110607247
-999.4443398,7.234915795,0.110948523
-999.4443398,7.258503653,0.111249238
-999.4443398,7.282091511,0.111510658
-999.4443398,7.305679369,0.111734045
-999.4443398,7.329267227,0.111920665
-999.4443398,7.352855084,0.11207178
-999.4443398,7.376442942,0.112188656
