delta_c/2pi (MHz),Omega_c/2pi (MHz),EIT Amplitude (arb. units)
-999.5368278,1.643284677,0.006378744
-999.5368278,1.650947405,0.006467155
-999.5368278,1.658610132,0.006556447
-999.5368278,1.666272859,0.006646524
-999.5368278,1.673935587,0.006737291
-999.5368278,1.681598314,0.00682865
-999.5368278,1.689261042,0.006920506
-999.5368278,1.696923769,0.007012763
-999.5368278,1.704586496,0.007105323
-999.5368278,1.712249224,0.007198092
-999.5368278,1.719911951,0.007290972
-999.5368278,1.727574679,0.007383868
-999.5368278,1.735237406,0.007476683
-999.5368278,1.742900133,0.007569322
-999.5368278,1.750562861,0.007661687
-999.5368278,1.758225588,0.007753683
-999.5368278,1.765888315,0.007845214
-999.5368278,1.773551043,0.007936183
-999.5368278,1.78121377,0.008026494
-999.5368278,1.788876498,0.008116051
-999.5368278,1.796539225,0.008204757
-999.5368278,1.804201952,0.008292518
-999.5368278,1.81186468,0.008379235
-999.5368278,1.819527407,0.008464813
-999.5368278,1.827190135,0.008549156
-999.5368278,1.834852862,0.008632168
-999.5368278,1.842515589,0.008713752
-999.5368278,1.850178317,0.008793812
-999.5368278,1.857841044,0.008872253
-999.5368278,1.865503772,0.008948977
-999.5368278,1.873166499,0.009023888
-999.5368278,1.880829226,0.009096891
-999.5368278,1.888491954,0.009167889
-999.5368278,1.896154681,0.009236786
-999.5368278,1.903817408,0.009303486
-999.5368278,1.911480136,0.009367892
-999.5368278,1.919142863,0.009429908
-999.5368278,1.926805591,0.009489439
-999.5368278,1.934468318,0.009546387
-999.5368278,1.942131045,0.009600657
-999.5368278,1.949793773,0.009652153
-999.5368278,1.9574565,0.009700777
-999.5368278,1.965119228,0.009746435
-999.5368278,1.972781955,0.009789029
-999.5368278,1.980444682,0.009828464
-999.5368278,1.98810741,0.009864644
-999.5368278,1.995770137,0.009897471
-999.5368278,2.003432865,0.009926851
-999.5368278,2.011095592,0.009952686
-999.5368278,2.018758319,0.009974881
-999.5368278,2.026421047,0.009993339
-999.5368278,2.034083774,0.010007964
-999.5368278,2.041746501,0.01001866
-999.5368278,2.049409229,0.010025331
-999.5368278,2.057071956,0.01002788
-999.5368278,2.064734684,0.010026212
-999.5368278,2.072397411,0.01002023
-999.5368278,2.080060138,0.010009848
-999.5368278,2.087722866,0.009995013
-999.5368278,2.095385593,0.009975739
-999.5368278,2.103048321,0.009952138
-999.5368278,2.110711048,0.009924415
-999.5368278,2.118373775,0.009892838
-999.5368278,2.126036503,0.0098577
-999.5368278,2.13369923,0.009819303
-999.5368278,2.141361957,0.009777945
-999.5368278,2.149024685,0.00973393
-999.5368278,2.156687412,0.009687556
-999.5368278,2.16435014,0.009639126
-999.5368278,2.172012867,0.009588939
-999.5368278,2.179675594,0.009537298
-999.5368278,2.187338322,0.009484501
-999.5368278,2.195001049,0.009430851
-999.5368278,2.202663777,0.009376647
-999.5368278,2.210326504,0.009322191
-999.5368278,2.217989231,0.009267784
-999.5368278,2.225651959,0.009213726
-999.5368278,2.233314686,0.009160318
-999.5368278,2.240977414,0.009107861
-999.5368278,2.248640141,0.009056655
-999.5368278,2.256302868,0.009007002
-999.5368278,2.263965596,0.008959202
-999.5368278,2.271628323,0.008913556
-999.5368278,2.27929105,0.008870365
-999.5368278,2.286953778,0.008829929
-999.5368278,2.294616505,0.008792549
-999.5368278,2.302279233,0.008758527
-999.5368278,2.30994196,0.008728162
-999.5368278,2.317604687,0.008701756
-999.5368278,2.325267415,0.008679609
-999.5368278,2.332930142,0.008662023
-999.5368278,2.34059287,0.008649297
-999.5368278,2.348255597,0.008641733
-999.5368278,2.355918324,0.008639631
-999.5368278,2.363581052,0.008643293
-999.5368278,2.371243779,0.008653019
-999.5368278,2.378906507,0.00866911
-999.5368278,2.386569234,0.008691866
-999.5368278,2.394231961,0.008721588
-999.5368278,2.401894689,0.008758578
-999.5368278,2.409557416,0.008803136
-999.5368278,2.417220143,0.008855562
-999.5368278,2.424882871,0.008916158
-999.5368278,2.432545598,0.008985224
-999.5368278,2.440208326,0.009063062
-999.5368278,2.447871053,0.009149971
-999.5368278,2.45553378,0.009246252
-999.5368278,2.463196508,0.009352207
-999.5368278,2.470859235,0.009468137
-999.5368278,2.478521963,0.009594341
-999.5368278,2.48618469,0.009731121
-999.5368278,2.493847417,0.009878777
-999.5368278,2.501510145,0.01003761
